序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
15,"
                                                                                                    【嗨森！这个国庆中秋假期，#成都政能量伴你游#成都】国庆中秋放假倒计时ing，@成都发布??#成都政能量联盟#、@成都服务??矩阵、@成都共青团??矩阵??将为网友提供联动微政务服务。将为你提供适时政务信息，假日期间，如果你有需要反映的政务方面问题，可以@??或私信我们哦~ ????????                                            ", 9月30日 15:43,2,6,12,搜狗高速浏览器,Fod9ne4Xx,0
16,"
                                                                                                    【给你大展身手的舞台 成都要来当你的校友】#成都经济#每个年轻人都有一个创业梦。成都，恰恰提供了一个可以大展身手、建功立业的广阔舞台。“五中心一枢纽”建设，为“大众创业、万众创新”提供了丰厚沃土；建设最强区域中心城市、站稳国家中心城市、冲刺世界城市，则为年轻人的未来发展展示了美好前 ????????...展开全文c                                            ", 9月30日 15:22,7,2,5,搜狗高速浏览器,Fod0Q2A3W,0
17,"
                                                                                                    【#青川5.4级地震# 成渝客专等多条线路列车扣停 西成客专进行安全排查】地震发生后，成都铁路局紧急扣停了运行在宝成铁路成都至广元段、绵成乐铁路成都东至江油段的所有列车，成渝客专全线扣停，铁路部门正对设备进行检查。同时西成客专正派技术人员对沿线设备、青川站站房开展安全排查。@西南铁路 ????????                                            ", 9月30日 14:52,26,127,42,搜狗高速浏览器,FocOCkq3u,1
18,"
                                                                                                    #连线四川#中国地震台网正式测定：09月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13千米。@中国地震台网速报                                            ", 9月30日 14:33,13,21,1855,搜狗高速浏览器,FocHbFwHd,1
19,"
                                                                                                    #连线四川#中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。@中国地震台网速报 ????????                                            ", 9月30日 14:20,167,421,1855,搜狗高速浏览器,FocBSfxJi,1
20,"
                                                                                                    地震了？感觉楼在摇 ????????                                            ", 9月30日 14:16,60,989,833,360安全浏览器,FocAapcvY,1
21,"
                                                                                                    【在家就能做的瘦手臂操】#生活服务#准备2个哑铃或装满的矿泉水瓶。9个动作，每周3次，30天告别拜拜肉！据@人民网 ????????                                            ", 9月30日 13:50,156,20,121,搜狗高速浏览器,FocpCt5UN,0
22,"
                                                                                                    【@四川博物院 把顶级藏画晒出来了！快去打卡】 #天府文化# #川博书画精品展# “翰墨至宝——四川博物院藏书画精品展”今天在川博展厅二楼书画厅正式开幕啦！展期：2017年9月29日-11月29日，赵佶、唐寅、陈洪绶、石涛、齐白石、徐悲鸿、黄宾虹等名家真迹怎能错过！ ????????                                            ", 9月30日 13:09,47,24,22,微博 weibo.com,Foc8JhGpx,0
23,"
                                                                                                    【傍晚有雨 出行注意安全】#成都午间天气#午后继续阴天到多云走起，阳光只能快闪，最高气温26℃。@成都气象 预计今晚到明早夜雨为主，白天转阴，气温舒适。特别提示：今天傍晚前后部分地方小雨就渐渐开始，正值节前晚高峰，道路湿滑拥堵，即使心情雀跃，也要注意交通安全，小心驾驶。 ????????                                            ", 9月30日 12:28,8,1,4,iPhone 6s Plus,FobSrh7fr,0
24,"
                                                                                                    【国庆来慢食之都慢慢涮火锅】#美食成都# 成都被评为亚洲首个慢食之都，所谓慢食就是静下来享受生活，和朋友慢慢品尝美好吧～国庆快来成都快耍慢活吧，给大家准备了不可错过的17家成都火锅店&点餐小指南～ via四川美食 ????????                                            ", 9月30日 11:50,779,408,2244,iPhone 6s,FobD0e7Oy,0
25,"
                                                                                                    【人才蜂拥而至！企业家蜂拥而至！项目蜂拥而至！签约2720.3亿元!】#成都经济#昨日，作为电子科技大学“电子信息+”产业发展大会暨校友企业联合会峰会的活动，系列签约仪式举行，京东方科技集团股份有限公司、中国华录集团有限公司、新尚集团等分别与成都市相关区（市）县签署投资协议，签约10个项目总 ????????...展开全文c                                            ", 9月30日 11:02,17,8,15,360安全浏览器,FobjnmEQS,0
26,"
                                                                                                    【四川省暨成都市公祭烈士活动今日举行，缅怀烈士，铭记历史！】9月30日是全国烈士纪念日。上午9:30分，2017·四川省暨成都市公祭烈士活动在成都烈士陵园举行。省委书记、省人大常委会主任王东明，西部战区司令员赵宗岐、政治委员吴社洲，省委副书记、省长尹力，省政协主席柯尊平，省委副书记邓小刚等， ????????...展开全文c                                            ", 9月30日 10:42,31,9,53,微博 weibo.com,Fobb4102y,0
27,"
                                                                                                    【成都将开展秋冬大气污染防治十大行动】#住在成都#昨日，市政协“科学防治雾霾 提升大气环境质量”专题协商会议举行，数十位政协委员、专家学者与市政府以及相关负责人齐聚一堂，为我市大气环境治理问诊把脉、建言献策。据了解，下一步成都将开展秋冬大气污染防治十大行动。 ????????                                            ", 9月30日 10:15,20,12,10,360安全浏览器,Fob0r65Qg,0
28,"
                                                                                                    #直播精彩成都#两条空港双流观光巴士线路今天开通↓大家可乘坐双层观光巴士直达黄龙溪景区哦～（来自L一直播:G乌子正在直播）APP下载地址：O网页链接 ????????                                            ", 9月30日 09:27,13,28,16,一直播,FoaGFq7yT,0
29,"
                                                                                                    【烈士纪念日：今天，无论你在哪里，发条微博向先烈致敬！】#博闻广记#他们，用鲜血捍卫国家尊严；他们，用生命换来今日和平。我们无法知道他们每个人的名字，但每一个向死而行的生命都必须被铭记，每一种视死如归的精神都值得被仰望。转发缅怀，向为民族独立、国家富强而牺牲的先烈致敬！据@人民日报 ????????                                            ", 9月30日 08:49,69,8,49,iPhone 6s Plus,FoarlEjyo,0
30,"
                                                                                                    #气象与生活#【秋季两种方法吃梨更润肺】①蒸熟：先把梨从蒂下三分之一处切下当盖，掏空梨中间果肉并切块；再把川贝母细粉及适量冰糖放入梨中，把梨放在蒸锅里大火蒸45分钟左右，取出后即可。②榨汁：生梨去皮去核，榨汁后取400毫升左右，再与10克冰糖、1枚胖大海一起煮，20分钟后即可。据@新浪健康                                            ", 9月30日 08:13,2,1,21,iPhone 6s Plus,FoacTaLKf,0
31,"
                                                                                                    【阵雨提前告假 云层坚守岗位】#早安成都#节前最后一个工作日，大家是不是已经按耐不住激动的心情啦～@成都气象 预计今天阵雨来蓉逛逛，提前进入了他的小长假，未来三天以阴天间多云为主，能不能遇见小太阳，就要看云朵的魅力啦！最高气温浮动在26~28℃左右。【注意：今日汽车尾号不限行】 ????????                                            ", 9月30日 07:39,15,4,21,iPhone 6s Plus,Fo9YVFgaX,0
32,"
                                                                                                    #晚安成都#你第一次坐火车是去的哪里？你还记得吗？图据 网络 ????????                                            ", 9月29日 23:17,20,284,39,微博 weibo.com,Fo6H1lUjL,0
33,"
                                                                                                    【四川国际航空航天博览会 飞上天都是爱你的形状】????#连线四川#飞机对冲、高空落体……今天上午，2017四川国际航空航天博览会在广汉开幕。来自拉脱维亚波罗的海蜜蜂等飞行表演队为观众上演了精彩的空中“舞蹈”。表演过程中还打出了爱心的图案，少女心爆棚！转走这颗心，说不定会有好事发生~ ????????...展开全文c                                            ", 9月29日 22:45,34,24,70,微博 weibo.com,Fo6u1tlNp,0
34,"
                                                                                                    #回首这五年#灿烂的日子，美妙的歌声，美丽的成都！祝祖国妈妈，生日快乐！                                            ", 9月29日 22:16,23,5,249,微博 weibo.com,Fo6iotLGW,0
35,"
                                                                                                    #美食成都#你今年开始吃月饼没有？你最喜欢吃哪种口味的？我先来，白莲蛋黄！有没有人和我一样？图据 网络 ????????                                            ", 9月29日 21:41,8,53,24,微博 weibo.com,Fo643pzE4,0
36,"
                                                                                                    【#四川喜迎十九大# 听，来自邛崃的歌声】#住在成都#“喜迎十九大·共筑中国梦”2017邛崃市庆祝国庆节合唱晚会今晚19时30分在文君广场举行。随着《今天是你的生日》歌声响起，合唱方队队员手中的白手套仿佛化成了一只只飞翔的白鸽。晚会现场，来自市公安、卫计、教育等部门的11支歌咏合唱队伍不论从歌曲 ????????...展开全文c                                            ", 9月29日 21:26,21,1,25,微博 weibo.com,Fo5YlnYMu,0
37,"
                                                                                                    【30天的腹肌马甲线挑战】#生活服务#马甲线是平坦腹部的最好表现！9个高效虐腹自重训练动作，每个15-20次，循环训练 4 组，组间休息 30 秒。3天等你见证！via 火辣健身 ???? ????????                                            ", 9月29日 20:58,56,4,30,微博 weibo.com,Fo5MADIqu,0
38,"
                                                                                                    【成都的“独角兽”在哪里？成都新经济发展研究院找你！】#成都经济#今天上午，“电子信息+”产业发展大会暨电子科技大学校友企业联合会峰会在电子科技大学校清水河校区举行。活动中，成都新经济发展研究院的成立尤其引人瞩目。电子科技大学教授、成都新经济发展研究院执行院长周涛表示，研究院将为成 ????????...展开全文c                                            ", 9月29日 20:48,8,4,8,微博 weibo.com,Fo5IPdImA,0
39,"
                                                                                                    【兰渝铁路乘客刘女士：回老家的路变快了，赶紧改签！】#兰渝路·脱贫路#兰渝铁路开通这天，乘客刘女士和老公、儿子一起也搭乘了成都至兰州的首发列车，刘女士说，她是昨天上午知道有这趟列车，便急忙改签，由于时间较晚，只能买到硬座，明天早上六点到达兰州后再转车便可以回到金昌老家。这是她第一次 ????????...展开全文c                                            ", 9月29日 20:16,173,29,108,微博 weibo.com,Fo5vykD1o,0
40,"
                                                                                                    【兰渝铁路今日全线开通????成都至兰州首班列车出发啦】#兰渝路·脱贫路#今天下午5时37分，兰渝铁路开通后成都至兰州首发列车K4512次列车准时从成都火车北站开出，一路向北开往甘肃兰州。兰渝铁路开通后，成都、重庆至兰州的铁路旅行时间为12小时、13小时，与过去相比分别压缩了9.5、7小时，成渝地区旅客 ????????...展开全文c                                            ", 9月29日 19:50,36,45,31,微博 weibo.com,Fo5l05y7M,0
41,"
                                                                                                    【从捷克、波兰到西班牙，成都自信讲述自己表达中国】#蓉平热点#“世界跑进成都，成都跑向世界”。这是刚刚落幕的首届成都国际马拉松的宣传语。若以此形容成都近一月来的大小城事，再贴切不过。成都为期10天的欧洲三国之行，不仅向世界展示了一个开放的成都，也以一座城市的代言表达了一个自信的中国。 ????????                                            ", 9月29日 19:31,12,6,6,微博 weibo.com,Fo5dsz4yn,0
42,"
                                                                                                    【一起来听成都警察故事 现场经历，感动！！为他们点赞】#平安成都#今日下午，在成都市公安局开展了“忠诚的旗帜”——成都公安“迎接十九大·忠诚保平安”先进典型事迹巡讲活动。现场，听成都警察的故事，感受他们坚决守住城市安全、社会安定、市民安宁的决心！现场讲述真的让小编感动不已，戳视 ????????...展开全文c                                            ", 9月29日 18:52,6,评论,8,微博 weibo.com,Fo4XsloNz,0
43,"
                                                                                                    【十一不想人挤人？四川九个冷门到冰点的景点推荐】#连线四川#黄金周出游要想出其不意又不想看人山人海，给你推荐九个四川的冷门旅游目的地，一定能收获不一样的惊喜！快快安排起来吧！via 成都最攻略 ????????                                            ", 9月29日 18:22,1568,719,2577,微博 weibo.com,Fo4LhlJQ0,0
44,"
                                                                                                    【今天晚上 给自己加个鸡腿！】#生活服务#葱油鸡，能够保持鸡肉原有的鲜嫩，同时葱香四溢，非常诱人。但是煮一整只鸡需要的时间较长，所以可以直接用鸡腿，可以说是一道极其简单但又非常馋人的肉菜了~据@四川美食搜索 ????????                                            ", 9月29日 17:40,24,6,21,微博 weibo.com,Fo4ueqJYb,0
45,"
                                                                                                    【城会玩|成都音乐快闪，祖国，生日快乐！】#秒拍成都#火热的年代，激情的岁月，灿烂的日子，美妙的歌声，美丽的成都！近日，来自成都的音乐人太古里快闪。歌唱祖国，雄浑，豪气！节奏热血！小布忍不住跟着唱出声来了。转赞！让我们一起祝伟大的祖国妈妈，生日快乐！L成都发布的秒拍视频 ????????                                            ", 9月29日 17:22,175,61,249,微博 weibo.com,Fo4nbCBKz,0
46,"
                                                                                                    【注意！明天至黄金周结束 成都机动车不限号】#交通出行#国庆中秋双节假期马上开启了。从9月30日至10月8日，成都机动车尾号将不限行。从10月9日正式上班后，将按照尾号限行规定进行限号管理。成都交警提醒，预计9月30日下午及晚间、10月1日上午，将迎来自驾游出行的高峰。在10月7日、8日下 ????????...展开全文c                                            ", 9月29日 16:33,17,15,15,微博 weibo.com,Fo432j8IP,0
47,"
                                                                                                    【成都今天又签“大单” 7大新经济项目落户成都】#成都经济#在今日的“电子信息+”产业发展大会暨校友企业联合会峰会上，高新区、成华区、温江区、郫都区与上海临港经济发展（集团）有限公司，中国车联网产业技术创新战略联盟等企业交换项目协议文本。7大签约项目涵盖国际人工智能产业园区、电子信息+ ????????...展开全文c                                            ", 9月29日 16:02,10,1,11,微博 weibo.com,Fo3Qscswi,0
48,"
                                                                                                    【成安渝高速9月30日全线建成通车 国庆走一波？】#交通出行#新开通的成安渝主线站至成都第二绕城高速公路段设置了成都主线收费站、龙泉驿收费站和洛带收费站3个收费站和龙泉驿服务区。服务区已开通除加油和餐饮外的全部服务。目前连接成安渝高速公路的入城段成洛大道和地下综合管廊正在加紧施工，该路 ????????...展开全文c                                            ", 9月29日 15:31,14,5,9,微博 weibo.com,Fo3DS9b9L,0
49,"
                                                                                                    【成都高校人才井喷 IT公司赚翻了】#住在成都#“蓉”归故里??成电校友返校日-成电青年人才专场招聘会今天在电子科技大学清水河校区举行，110家科技信息企业前来招贤纳士，各企业都表示，成都的高校人才资源丰富，这些人才让他们对在成都未来的发展更具信心。郫都区菁蓉无人机飞行服务中心收到的简历中9 ????????...展开全文c                                            ", 9月29日 15:02,49,21,20,秒拍网页版,Fo3slBayD,0
50,"
                                                                                                    【这才是吃货的家！120㎡，竟有3个餐厅】#住在成都#成都一对有爱的吃货小夫妻，在120㎡的家里，搞了三个就餐区，最多可容纳12人！他俩每周五都呼朋唤友，举办家宴，来的朋友很多都是大厨级别，会自己动手做，吃不完还要打包带走，冷吃兔、红烧肉、回锅肉、蒜香烤大排……@一条 ????????...展开全文c                                            ", 9月29日 14:04,37,26,41,iPhone 6,Fo34yerGe,0
51,"
                                                                                                    #住在成都#你家住哪里？（成都地铁） ????????                                            ", 9月29日 13:37,33,947,1124,iPhone 6,Fo2TBrA6t,0
52,"
                                                                                                    【国庆中秋8天，如此度过滋味十足】#蓉平热点#国庆全国热门出游城市TOP10中，成都名列第二位，仅次于北京。这一结果是对成都的肯定，也对成都提出了更高的要求。成都市第十三次党代会提出，要打造现代服务业新引擎，加快建设世界旅游目的地城市。迎好八方来客，该以何种姿态？请保持一颗真诚实在的心， ????????...展开全文c                                            ", 9月29日 13:11,33,6,7,iPhone 6,Fo2JewaDg,0
53,"
                                                                                                    【厚厚云被盖天上】#成都午间天气#凉悠悠的上午时光，天空未见明朗，11时我市均温22.5℃。@成都气象 说，午后阳光难以扒开缝隙跟大家say hello，分散性阵雨随夜潜入蓉城，最高气温25℃。各位是否已经“身未动心已远”啦？要和小布一样，勤勤恳恳坚持工作喔~ ????????                                            ", 9月29日 12:45,5,评论,7,搜狗高速浏览器,Fo2yQElFQ,0
54,"
                                                                                                    【成都上半年80家店吃喝汇总】#美食成都#外地博主@lilimona 精心整理了近半年在成都的吃喝合集，想来成都旅游休闲吃喝玩乐滴胖友们赶紧看过来，你们准备好了吗 ????????                                            ", 9月29日 12:18,161,59,94,搜狗高速浏览器,Fo2nBeEw3,0
55,"
                                                                                                    【最萌熊猫天团亮相????一年一度晒团子时间到！】#住在成都#9月29日上午10时许，@成都大熊猫繁育研究基地 月亮产房，2017年新生大熊猫组成最萌天团亮相啦！2017年，熊猫基地成功繁育并存活大熊猫幼仔8胎11仔，其中包括3对双胞胎以及海外出生的1仔大熊猫。萌化你的高清大图来了，收图！（四川日 ????????...展开全文c                                            ", 9月29日 11:45,45,62,203,微博 weibo.com,Fo2a8sBHj,0
56,"
                                                                                                    【电子科技大学校长、中国工程院院士李言荣：汇聚成电力量 共谋成都新经济发展】#住在成都#“电子信息+”产业发展大会暨校友企业联合会峰会正式开始，电子科技大学校长、中国工程院院士李言荣致辞说，本次活动主题是“汇聚成电力量 共谋成都新经济发展”。电子科大校友对成都充满感情，对母校充满热爱 ????????...展开全文c                                            ", 9月29日 11:18,51,10,22,搜狗高速浏览器,Fo1ZcmP3s,0
57,"
                                                                                                    【成都市政府与电子科技大学联合举办“蓉”归故里??电子科大日】#住在成都#适逢@电子科技大学 61周年校庆，今天，成都市人民政府与电子科技大学在9月29日联合举办“蓉”归故里??电子科大日活动，引聚电子科大及校友资源，实现市校企合作共赢，将举办一场展览（成都规划发展政策展、校友企业展、科技成 ????????...展开全文c                                            ", 9月29日 10:52,15,4,23,搜狗高速浏览器,Fo1OMpWAB,0
58,"
                                                                                                    【国庆中秋大假“不打烊”????十大文化场馆全部错时延时开放】#天府文化#国庆中秋大假期间，呆在成都，到图书馆看看书、听听讲座，到博物馆看看展览，都能度过一个愉快而放松的假期。据悉，四川省图书馆、四川博物院、四川省文化馆等10个公共文化服务机构，国庆大假期间均不放假，全部延时开 ????????...展开全文c                                            ", 9月29日 10:27,73,13,16,搜狗高速浏览器,Fo1ENkHl7,0
59,"
                                                                                                    【国庆自驾出成都咋走最快？八张图教你避堵！】#交通出行#根据交警部门预测，假期期间，成都绕城高速恐将面临较严重交通拥堵，不过好在还有成都第二绕城高速，虽然绕行的线路远一点，但交警部门建议当各条出城高速出现拥堵时，通过二绕绕行避堵是很科学的方案。具体避堵攻略戳图↓ ????????...展开全文c                                            ", 9月29日 10:01,92,21,25,搜狗高速浏览器,Fo1ua7ktU,0
60,"
                                                                                                    【成博法国展????视频带你看“和平鸽丝巾”、《睡莲》真容】#天府文化#成博“法国现当代绘画艺术展”自9月27日开展以来，众多西方艺术圈大咖真迹悉数亮相，搅动了蓉城文艺青年的看展热情。国庆你也想去一睹真容？小布先来给你探探馆：比爱马仕还珍贵的“和平鸽丝巾”看点在哪？保险估价近人民币2亿的 ????????...展开全文c                                            ", 9月29日 09:35,80,28,25,搜狗高速浏览器,Fo1joxsB8,0
61,"
                                                                                                    【世界上最好的运动是什么？走路！】#生活服务#世卫组织认定，走路是“世界上最好的运动”。然而，这件我们迈开双腿就能完成的简单事，你还真不一定能做对。拖拉着脚、低着头、迈大步、内外八字……今天世界步行日，小心犯这8个错↓↓ 你走对了吗？ ??????@人民网 ????????                                            ", 9月29日 09:04,99,17,11,iPhone 6,Fo176t8ox,0
62,"
                                                                                                    【截止今晨7时，成都主城区空气质量 优】#空气质量#@成都环保 说，根据成都市环境空气质量实时监测显示，截止时间9月29日7时主城区空气质量指数类别 优 空气质量实时数据详见O网页链接 ????????                                            ", 9月29日 08:36,7,3,6,iPhone 6,Fo0VE9OP8,0
63,"
                                                                                                    【将9种食物加入食谱吧】#气象与生活#总是感冒，经常生病？这是免疫力低下的表现！提高免疫力，日常食谱加入这9种：①酸奶：护肠道；②谷物：抗氧化；③大蒜：抗感染；④鱼贝类：抗病毒；⑤鸡汤：化痰；⑥茶：抗菌；⑦牛肉：补锌；⑧红薯：增强皮肤抵抗力；⑨蘑菇：抗感染。@生命时报                                            ", 9月29日 08:01,11,评论,12,iPhone 6,Fo0HzvWCZ,0
64,"
                                                                                                    【接招吧！未来三天阴天多云交换来】#早安成都#昨日下午阳光逐渐显身，但这只短暂的露脸而已。@成都气象 说，今天白天天空偶尔舒展笑颜，偶尔愁容上脸，最高气温25℃。离国庆长假仅2天，打起精神投入工作吧，时间就会突突突地过。【今日尾号限行5、0】图据@蒋大豆子 ????????                                            ", 9月29日 07:33,72,22,12,iPhone 6,Fo0w0ocWJ,0
65,"
                                                                                                    #晚安成都#你们有没有觉得，每次当你都准备睡了，就总有人找你聊天？图据 网络 ????????                                            ", 9月28日 23:15,1,57,27,微博 weibo.com,FnXfHAoQu,0
66,"
                                                                                                    #网事聚焦#如果早上起来你一推开房门…… 据@iPanda熊猫频道 ????????                                            ", 9月28日 22:30,2,28,44,微博 weibo.com,FnWXrB3fK,0
67,"
                                                                                                    #住在成都#7号线即将开通，开通后成都地铁换乘站增至14座。你上班的时候怎么转车最方便呢？ ????????                                            ", 9月28日 21:45,74,83,44,微博 weibo.com,FnWFbj5dd,0
68,"
                                                                                                    【拯救你的油头，从避开洗头的10个错误开始】#生活服务#刚洗过不久的头发就隐约泛起油光，洗还是不洗？不洗头简直不敢见人，频繁洗头又陷入了越洗越油的怪圈。调查显示，中国人的头发是全球第二油的你知道吗，错误的洗发护发方法可能让头发越来越糟。洗头的10个错误习惯，你有几个？据 ????????...展开全文c                                            ", 9月28日 21:12,13,10,18,微博 weibo.com,FnWrMCV0Q,0
69,"
                                                                                                    #四川喜迎十九大#进藏第四天！来看看石渠县援藏医疗卫生队伍的榜样事迹！                                            ", 9月28日 20:55,4,评论,32,微博 weibo.com,FnWl3a6ws,0
70,"
                                                                                                    【运动后记得拉伸】#生活服务#慢跑、夜跑，是很多成都人喜爱的锻炼方式之一。大腿肉太多、想跑步又怕“粗腿”？都是因为你没有拉伸啦！9个拉伸动作，缓解运动后紧张，拉长肌肉线条。注意控制力度，以略有紧绷感而不疼痛的强度为宜。via 火辣健身 ????????                                            ", 9月28日 20:12,61,7,49,微博 weibo.com,FnW3O59B4,0
71,"
                                                                                                    【成都护士上班途中遇车祸患者 跪地10分钟为其心肺复苏】#秒拍成都#今早7点半左右，程鹏路口发生一起车祸，伤者瞳孔散大，生命垂危。正在上班途中的@成都市第五人民医院 护士袁媛经过此处，见状立即上前给伤者进行心肺复苏，并组织路人一起对伤者采取急救措施。目前，伤者已被送至五医院接受进一步 ????????...展开全文c                                            ", 9月28日 19:40,7,18,64,微博 weibo.com,FnVQrrLXB,0
72,"
                                                                                                    【党旗鲜艳迎盛会 歌声嘹亮唱“东进”】#住在成都#今天上午，简阳市“喜迎十九大·颂歌献给党”歌咏会展演活动在体育中心举行。活动共分风展红旗江山多娇，筚路蓝缕岁月如歌，继往开来走向复兴三个篇章，一首首催人奋进，高亢激越的爱国主义歌曲将整座体育馆成了歌舞的世界。此次简阳举行的“喜迎十九大 ????????...展开全文c                                            ", 9月28日 19:15,7,4,12,微博 weibo.com,FnVGilG4K,0
73,"
                                                                                                    【四川一男子每天用钱为妻叠爱心 攒6年买车】#连线四川#27日，四川古蔺，一对夫妻提着行李箱去买车，一打开全是叠成爱心的纸币。原来，丈夫每天为妻子叠11块人民币爱心，象征着""一心一意""，坚持了6年。现在钱都发霉了，不能再存下去了，就拿出来买车了…网友：撒得一手好狗粮！据@一手video????????????...展开全文c                                            ", 9月28日 18:39,11,29,53,微博 weibo.com,FnVrGqKZA,0
74,"
                                                                                                    #网事聚焦#猫头鹰，被一身厚厚羽毛耽误的逆天大长腿网友：最后一张是个人吧via 动漫基地 ????????                                            ", 9月28日 18:08,23,36,54,微博 weibo.com,FnVf5FfCI,0
75,"
                                                                                                    【成都“特大号美食”收录】#美食成都#成都这些店卖的超大份食物你有去吃过吗？今天带你看看，成都最大的食物究竟有多大？温馨提示：千万不要一个人去挑战哦！via 成都美食榜 ????????                                            ", 9月28日 17:37,44,29,63,微博 weibo.com,FnV2wbA79,0
