序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource,Score
46,#马尔康锅庄节# 红原锅庄，生活在红原地区的藏族儿女能歌善舞，民间舞蹈主要以锅庄的形式存在，其中又以麦洼锅庄最为著名。麦洼锅庄源于西康，经吸纳安多地区文化因素改进创新而成，更具独特魅力。它包含着丰富的藏族文化内涵，形式完整多样、地域特色鲜明、民族风格浓郁，有深厚的群众基础。其中蕴含 ????????...展开全文c, 9月27日 09:57,1,评论,6,iPhone 6s,FnIBupd95,0,46,-25,1,0.7371360223477035
47,#马尔康锅庄节# 黑水县《啊啦吉吉》场面宏大、气势壮阔的黑水本土锅庄《啊啦吉吉》，有着上千年历史传承，以嘉绒藏族独特服饰、舞蹈、曲调，与嘉绒藏区自然、社会、佛教、习俗完美融合，极具神秘色彩…… L阿坝微博的微博视频 ????????, 9月27日 09:49,10,2,19,iPhone 6s,FnIyo1E6d,0,47,-26,1,0.6676924619719535
48,#马尔康锅庄节# 小金马尔锅庄—《祝酒锅庄》历史悠久，呈现嘉绒藏族所独有的文化特质“马尔锅庄”，大多表现嘉绒藏族的生产和生活习俗习惯。这曲《祝酒锅庄》节奏欢快、变化多样，有矫健的舞步、雄浑的唱法、变幻的舞姿、丰富的内涵，充分展现了马尔人奔放的情怀和对生活的热爱。歌词大意是在五谷丰登 ????????...展开全文c, 9月27日 09:44,11,6,10,iPhone 6s,FnIw20WAM,0,48,-27,1,0.7304201424458325
49,#马尔康锅庄节# 理县锅庄《哇瑟切嘛》《哇瑟切嘛》，一般是在喜庆或者节庆时才跳，在青稞酒开坛祈福仪式之后，锅庄《哇瑟切嘛》紧接其后，随即拉开羌族锅庄的序幕。人们围着篝火边歌边舞，尽情欢乐，通宵达旦，在生产力较为落后的岁月里，这样的欢庆活动，无疑是鼓励耕种、凝聚人心的最好时机，这也就 ????????...展开全文c, 9月27日 09:39,2,评论,6,iPhone 6s,FnItZwQtI,0,49,-28,1,0.7661971387016029
50,#马尔康锅庄节#马尔康市委书记张培云致辞并宣布开幕。 ????????, 9月27日 09:30,1,评论,21,iPhone 6s,FnIqw86Zw,0,50,-29,1,0.5626657211948336
51,【马尔康第六届嘉绒锅庄节盛大开幕】秋风送爽，瓜果飘香。在举国上下，喜迎建国68周年和党的“十九大”的胜利召开之际，我们相聚在高原新城马尔康，共同参加马尔康第六届嘉绒锅庄文化旅游节。 ????????, 9月27日 09:21,8,评论,22,iPhone 6s,FnImXqfBx,0,51,-30,1,0.7424520399079173
52,2013年5月21日，习近平总书记来到芦山地震灾区调研指导，新华社将于今天上午9时在震中龙门乡进行直播，全面展现芦山灾后重建取得的成果以及探索出的重建新路子O红色追寻·足迹 直播 |四川芦山：灾后重建展新... ????????, 9月21日 09:18,转发,评论,1,iPhone 6s,FmNMPEBPc,0,52,-31,1,0.7411964634599983
53,【阿坝州10名教师拟入选省特级教师表彰名单】昨日，四川省对400名“四川省特级教师”拟表彰人选予以公示，阿坝州10名教师入选“四川省特级教师”拟表彰人选。快来看有你的老师吗 ????????, 9月20日 17:46,4,3,24,微博 weibo.com,FmHGf1ssu,0,53,-32,1,0.6811761148563623
54,【帮扶单位联系外地客商助销九寨脆红李】近日，九寨沟县马家乡1.5万斤脆红李成熟滞销愁苦了众多果农，作为帮扶单位的阿坝州商务局时刻把群众的事情挂在心上，用真心为民解忧，积极联系外地客商，用三天时间帮扶果农破解了果难卖，齐心协力上演了一场精准扶贫攻坚的爱心接力赛。 ????????, 9月20日 17:44,2,1,4,微博 weibo.com,FmHFmEuci,0,54,-33,1,0.7604554755050987
55,【阿坝州第一代铁路人在成都接受培训】日前，首批面向阿坝州公开招聘的成都铁路局工作人员在成都管理职业学院接受了铁路专业知识培训。据悉，此次共有81名学员参加培训。此次培训为期两个月，通过理论学习、实训等多种形式进行。培训合格人员将正式踏上铁路工作岗位，成为阿坝州第一代铁路人。 ????????, 9月20日 17:41,1,2,6,微博 weibo.com,FmHEpgVL1,0,55,-34,1,0.7075260275284647
56,【红原23位空巢老人喜获老人机】近日，四川电信公司红原分公司为红原县江茸乡23位空巢老人送去了老人机。据悉，该批老人机字体大、音量大、按键大且操作简单，接打方便。老人机为老人与儿女之间搭起了亲情桥梁，同时，手机上的定位系统，随时可以掌握老人动态，老人在遇到紧急情况时只需按下“SOS”键 ????????...展开全文c, 9月20日 16:19,转发,评论,1,微博 weibo.com,FmH7aduSr,0,56,-35,1,0.7638840726379901
57,"【理县薛城中学获赠价值3万元的图书】9月15日，都江堰市青城山镇五里社区村委会一行8人来到理县,为薛城中学捐赠了价值3万余元的图书。所赠书籍，大致涵盖文学名著、青春励志、心理健康教育、科普等方面。 ????????", 9月20日 15:48,转发,1,3,微博 weibo.com,FmGUlk2qN,0,57,-36,1,0.6268322953578234
58,【1亿元扶贫贷款 助川甘青高原物流园区建设】近日，记者从人行阿坝州中心支行获悉，为支持我州商贸物流体系建设，农业发展银行阿坝州分行投放1亿元扶贫过桥中长期贷款，用于川甘青高原物流产业园区建设，这是农发行阿坝分行切实加大金融扶贫工作力度，审批落地的首笔扶贫过桥中长期贷款。 ????????, 9月20日 15:46,转发,评论,赞,微博 weibo.com,FmGTKCHSM,0,58,-37,1,0.735298106800869
59,【四川214家定点医疗机构接入国家异地就医结算系统（名单）】近日，人社部发布基本医疗保险跨省异地就医住院医疗费用直接结算公共服务信息（第五期），截至9月15日，四川共有214家定点医疗机构接入国家异地就医结算系统。 ????????, 9月20日 10:36,2,评论,1,微博 weibo.com,FmERQ6v2S,0,59,-38,1,0.6560384460279792
61,【茂县“金冠”苹果上市 全国各地都能买到】眼下，正值苹果成熟上市的季节，在茂县白溪乡田间地头，“金冠”苹果挂满枝头，金黄诱人，村民正忙着采摘。据悉，白溪乡共种植“金冠”苹果近200亩，将利用网络及微信平台把苹果销往全国各地。 ????????, 9月20日 10:31,转发,评论,9,微博 weibo.com,FmEPNB3Sf,0,61,-39,1,0.6867334658703506
62,【全国首个民族地区教育发展先行实验区落户理县】9月18日，记者从理县教育局获悉，国家教育部“民族地区教育发展先行实验区”授牌仪式于日前在理县举行，意味着全国首个“民族地区教育发展先行实验区”在理县安家落户。 ????????, 9月20日 10:17,2,1,7,微博 weibo.com,FmEK0zAXe,0,62,-40,1,0.6792206802925765
63,【嘉绒文化走进马尔康校园】新学期伊始，马尔康市卓克基镇中心校开展了“嘉绒文化进校园”系列活动。在老师的指导下，一张张色彩斑斓的头帕、一幅幅精美绝伦的唐卡在同学们手中呈现。近年来，马尔康市积极邀请非遗传承人和热心文化公益事业人士进校园，结合学校师资，在中小学开展传统文化进校园活动， ????????...展开全文c, 9月20日 10:12,转发,评论,11,微博 weibo.com,FmEIgFGAP,0,63,-41,1,0.7280971097473055
64,#阿坝天气# 今天是2017年9月20日 星期三 农历八月初一 。今日我州除松潘和阿坝是晴转阵雨，其他地方都有阵雨。最高温度金川19℃ ，最低温度壤塘3℃ 。秋意渐凉，请注意添加衣物！ ????????, 9月20日 10:08,转发,评论,3,微博 weibo.com,FmEGwAztR,0,64,-42,1,0.7153779902425854
65,为两位阿坝好人点赞, 9月20日 08:36,转发,2,赞,iPhone 6s,FmE5icduJ,0,65,-43,1,0.4612740915236175
66,【浙江永康348万元援建理县民生项目】近日，浙江省永康市向理县捐赠348万元帮扶资金。据了解，从2015年起，永康市对口帮扶理县，并拨出专项资金用于理县薛城镇筹边楼大桥工程项目和理县高半山渠系配套工程项目建设。此次捐赠的348万元主要将用于高半山农村水利基础设施建设。 ????????, 9月19日 18:06,1,评论,1,微博 weibo.com,FmynUErOi,0,66,-44,1,0.7380361448561699
67,【全国首笔市州中职生助学贷款落户我州】今年8月底，阿坝州人民政府、阿坝州教育局与国家开发银行签订了《国家开发银行中等职业教育学生生源地信用助学贷款市（州）级合作协议》。9月12日，国家开发银行中职助学贷款阿坝州启动仪式在威州民族师范学校举行。据介绍，阿坝州开展中职助学贷款业务将成为全 ????????...展开全文c, 9月19日 18:05,转发,评论,2,微博 weibo.com,FmynwFwUS,0,67,-45,1,0.6949336191862225
68,【8月阿坝州大型节庆活动吸金1千多万】8月，阿坝州大型节庆活动共接待游客2.9万人次，实现旅游收入1121.7万元，分别占8月接待游客和旅游总收入的1.62%和0.76%。 ????????, 9月19日 18:03,2,1,12,微博 weibo.com,FmymFtxcE,0,68,-46,1,0.589108543543905
69,【阿坝州开展网络安全进校园活动】在9月19日网络安全宣传周活动的第一个主题日“校园日”当天，阿坝州2017年网络安全宣传活动走进校园，来到马尔康中学，开展“网络安全为人民 网络安全靠人民”为主题的宣传教育活动。活动中，在校园内搭建了网络安全知识咨询点，摆设展板，用现场讲解和宣传展示等方式 ????????...展开全文c, 9月19日 17:59,3,1,7,微博 weibo.com,Fmyll4eKG,0,69,-47,1,0.6235357661537677
70,【万亩脆李子成熟 羌家女玩“快闪”代言】9月16日，汶川县羊角花艺术团的羌族女孩们在芤山村李子树林间玩起了“快闪”，为家乡的李子代言。9月，汶川高半山的1.5万亩青、红脆李已经成熟进入采摘期。当日，芤山村举办了《相约康养汶川 臻享金秋盛宴》为主题的红脆李采摘活动，组织游客参与红脆李品尝、 ????????...展开全文c, 9月19日 16:05,2,1,10,微博 weibo.com,FmxANgyxI,0,70,-48,1,0.7633750634946674
71,【阿坝州启动2017年国家网络安全宣传周活动】9月18日，2017年阿坝州国家网络安全宣传周活动在马尔康开启。活动为期7天，期间，相关单位人员将走进街头、社区、校园和各大金融机构等地方，通过发放网络安全知识宣传手册、张贴海报、现场接受咨询等活动向广大市民进行宣传讲解，普及网络安全知识，推广最 ????????...展开全文c, 9月18日 16:16,2,2,9,微博 weibo.com,FmoeF8cFI,0,71,-49,1,0.6901650638829322
72,【大咖云集！明天到四川内江听听网络安全那些事】°大咖云集！明天到四川内江听听网络安全那些事 ????????, 9月17日 12:41,转发,评论,5,iPhone 6s,FmdpggdyW,0,72,-50,1,0.5026518302752525
73,"【汶川县离退休干部载歌载舞喜迎十九大】近日，汶川县驻都江堰离退休党总支举办“喜迎十九大、永远跟党走”文艺汇演,300余名离退休老干部载歌载舞迎接党的十九大，深切表达对党的真挚深情。演出在气势磅礴的《没有共产党就没有新中国》歌声中拉开序幕，表达了老同志们不忘初心、继续前进、奉献余热、迎 ????????...展开全文c", 9月17日 11:25,2,评论,6,iPhone 6s,FmcU88lit,0,73,-51,1,0.7548580111180097
74,【安多藏族特色歌舞助阵德阳国际航展】天边的若尔盖，草原儿女能歌善舞，热情奔放…近日，若尔盖收到来自德阳四川国际航展的邀请函，邀请他们为航展带来安多藏族特色歌舞。航展期间，观众除了能看到天上众多特技飞行表演队共舞蓝天，还能看到两场精彩绝伦，来自草原的顶级歌舞盛宴。 ????????, 9月17日 11:23,1,2,20,iPhone 6s,FmcTkaP5Z,0,74,-52,1,0.7246832212514283
75,【理县2017年农补贴资金已全部兑付】记者从理县农牧水务局获悉，截至到9月14日，该县领先全州完成2017年农业支持保护补贴资金发放工作已全面完成。理县2017年农业支持保护补贴涉及到13个乡镇，81个行政村，惠及全县8124农户，补贴面积达33081亩，补贴标准为每亩58.6，补贴资金共计193.92万元。 ????????, 9月17日 11:19,转发,评论,2,iPhone 6s,FmcRTbFHx,0,75,-53,1,0.7295028992948831
76,【续写巴山风情 35年后新华社《瞭望》记者再访达州】O续写巴山风情 35年后新华社《瞭望》记者再访... ????????, 9月16日 19:21,转发,1,2,iPhone 6s,Fm6B2Dpwf,0,76,-54,1,0.6774471855631471
77,#健康#【别再瞎劝酒！关于喝酒，这些你一定要知道】近日，广东一所985大学学生在旁人的“加油”声中，3分钟喝下6杯烈酒，重重倒下再没醒来…成年男性和女性一天最大饮酒量应不超过25克和15克。同伴出现醉酒症状时如何陪护？哪些酒水不能混搭？哪些药不能和酒同服…戳↓↓改掉酒桌劝酒习惯，转发提醒身 ????????...展开全文c, 9月15日 17:23,3,1,1,微博 weibo.com,FlWoFwvZY,0,77,-55,1,0.7131880705502927
78,【松潘全面实施国道郎川公路大修工程】近日，按照阿坝州公路局整体工作部署，由松潘公路管理分局自主实施的项目工程国道213线郎川路（尕力台至川主寺段）大修工程全面启动。预计在今年施工期内完成K599 900至K616 000路段的路面铺筑，目前，大修工作正有序推进中。 ????????, 9月15日 17:19,1,5,2,微博 weibo.com,FlWmZtUVc,0,78,-56,1,0.7635851677605212
79,【理县获四川县域电子商务十强县称号】近日，由四川省电子商务协会承办开展的“2017四川县域电子商务评选活动”经过报名、网络投票及专家评审阶段，汇总各项得分，理县入围“2017四川县域电子商务十强县”。 ????????, 9月15日 17:06,转发,评论,6,微博 weibo.com,FlWhMhnMO,0,79,-57,1,0.6178016477646082
80,"【若尔盖为61名患者免费实施复明手术】8月21日至9月13日,在近一个月的时间内，若尔盖县针对贫困群众看病就医困难的实际，开展防盲、治盲筛查工作，共筛查病人500例，对61名白内障贫困患者进行了复明手术，免除手术费用共计21.35万元（其中，省防盲致盲办8.54万元、县医院12.81万元），进一步助推了全县 ????????...展开全文c", 9月15日 17:06,1,1,1,微博 weibo.com,FlWhtmGHS,0,80,-58,1,0.7157234028892965
81,【理县签订阿坝州政策性农保第一单】“今年我们村的白菜有近百亩开花了，有些一分钱都没卖到，如果早有这种保险的话，对我们来说有很大的保障。”9月13日中午，在理县米亚罗镇举行的“理县政府农业保险出单首发仪式”上，村民板登头在“蔬菜价格指数自然灾害保险单”签上了自己的名字，为自家种植的白 ????????...展开全文c, 9月15日 17:04,转发,评论,2,微博 weibo.com,FlWgUd3Sb,0,81,-59,1,0.7498692545154839
82,【阿坝县举办现场招聘会 101人初步达成就业意向】9月13日，阿坝县人社局举办了“阿坝县2017年‘精准扶贫，就业先行’现场招聘会”，拿出31个就业岗位给应聘者。“如今这么好的工作机会来到了家门口，我一定把握住。”来自龙藏乡的贫困户达娃两年前从中专毕业后，由于文化程度和家庭贫困两方面的原因， ????????...展开全文c, 9月15日 17:00,1,评论,4,微博 weibo.com,FlWfedADo,0,82,-60,1,0.8174663896493912
83,【医疗志愿者用微信红包两小时募集400套校服】壤塘县上杜柯乡中心校有381名学生，学校没有统一校服。同心共铸中国心阿坝行志愿者们偶然得知这个消息后，在微信群里发起了一场募捐活动，主题是让孩子们都穿上校服。这个倡议得到了迅速响应，志愿者们通过微信红包，在短短两个小时就募集到了400套校服。9 ????????...展开全文c, 9月15日 16:58,2,评论,4,微博 weibo.com,FlWesjUvV,0,83,-61,1,0.7367373115921916
84,"【金川雪梨丰收啦快来金川吃梨儿】金秋时节，素有阿坝江南、雪梨之乡美名的金川县枣酥红梨、黄金梨相继成熟，一棵棵雪梨树上挂满了果实,一个个沉甸甸、黄橙橙的梨子压弯了枝头,呈现出一派丰收的景象。??据了解，近年来，金川县共种植金花梨、鸡腿梨、黄金梨等品种雪梨4万余亩、100万余株，年产 ????????...展开全文c", 9月15日 16:56,2,3,14,微博 weibo.com,FlWdqvDNA,0,84,-62,1,0.7309110763656645
85,【首场藏语盲文学习成果展明晚在马尔康举行】由盲人恩波创编的藏语盲文首批培训班的盲童们，通过三年的学习，将于9月16日晚7点在马尔康纳若藏吧（马尔康嘉绒大酒店旁）的舞台向大家展示他们三年的学习成果。届时藏文学者们将和盲童们就藏语盲文方面的知识以及汉语盲文、音乐等方面的问题进行交流。同时 ????????...展开全文c, 9月15日 12:41,1,1,17,微博 weibo.com,FlUxZreQs,0,85,-63,1,0.7648413814967573
86,【茂县凤仪镇红脆李成熟上市】眼下正值茂县红脆李成熟的季节，凤仪镇梨园、南庄等村种植的红脆李现已丰收上市，田间地头随处可见采摘、装箱的果农。据悉，今年，凤仪镇种植红脆李达1500余亩，预计产量可达2100余吨，主要销往成都、贵阳、重庆以及沿海各地。 ????????, 9月15日 11:45,转发,1,13,微博 weibo.com,FlUbup0Lt,0,86,-64,1,0.7458839656051248
88,#爱心传递#【急！九寨沟脆红李还有一两千斤请帮忙销售】帮帮忙！@W其实很介意 发来信息，在九寨沟县双河乡上甘座村，脆红李，由于受8.8地震影响，销售告急，目前仍有1，2000斤，望爱心人士帮忙销售，万分感谢！省内5斤装50元包邮，省外10斤装100元包邮，保证新鲜 ，当天采摘当天发货，联系电话15309040 ????????...展开全文c, 9月15日 10:19,3,3,3,iPhone 6s,FlTCky3Wk,0,88,-65,1,0.7907813566366733
89,【马久高速有重大进展！建成后成都跑拢青海只要11小时】近日，四川省人民政府办公厅函复阿坝州人民政府，原则同意G0615久治（青川界）至马尔康段高速公路项目采取“BOT+政府补助”方式建设，马久高速（四川马尔康至青海久治）开启建设前期投资人招标工作。作为连接新疆、青海、四川的新青川大通道的重 ????????...展开全文c, 9月15日 09:49,转发,评论,7,iPhone 6s,FlTqtCQyc,0,89,-66,1,0.7010108121902943
90,#阿坝天气# 今天是2017年9月15日 星期五 农历七月廿五????。今日我州壤塘、金川、小金和马尔康是多云转阴；汶川是阴天；黑水、阿坝和红原是阵雨转阴；九寨沟和茂县有小雨；松潘和理县是小雨转阴；若尔盖是阵雨转小雨。最高温度金川28℃ ，最低温度红原若尔盖7℃ 。 ????????, 9月15日 09:26,1,评论,3,微博 weibo.com,FlTgY8AXd,0,90,-67,1,0.6503010772722364
