序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource
200,【截至8月13日10时阿坝州排查灾区地灾隐患点 401处】截至8月13日10时，阿坝州在九寨沟地震灾区累计排查地质灾害隐患点 401 处。排查发现威胁群众生命财产安全的地质灾害隐患点245处、威胁 4992户20082人，威胁财产104398万元，已对主要核心区6 处隐患点威胁的70户225人实施了避让转移。 ????????, 8月15日 10:29,1,1,3,微博 weibo.com,Fhbrf8kIb,1,200,23,1
203,#九寨沟7.0级地震# 【阿坝州完成川九线弓杠岭至县城地灾隐患点排查任务】九寨沟“8.8”地震灾害发生后，省、州、县国土系统启动Ⅰ级应急预案，星夜赶赴九寨沟灾区，投入315人次，在48小时间内将川九路弓杠岭至县城一线的地灾隐患点尽数排查完毕，共排查隐患点109处。 ????????, 8月15日 10:20,转发,评论,2,微博 weibo.com,FhbnwDBEb,1,203,24,1
205,#九寨沟7.0级地震# 【九寨沟干部群众送别救灾人员】目前，九寨沟救援工作基本结束，受灾群众得到妥善安置，道路、通信、供电、供水等基本恢复。今日，救援武警官兵陆续撤离，永乐镇各村和社区群众自发来到路边组成了二十四米的感恩大道，欢送为九寨救援连续奋战的广大武警官兵和救灾人员。 ????????, 8月14日 17:53,2,2,18,微博 weibo.com,Fh4UZdb0v,1,205,25,1
206,【“帐篷法庭”成为 游客温暖的港湾】 震后第一庭，法槌在帐篷内敲响。8月11日上午9时，因抗震救灾忙碌了三天的法院干警没有休息，在“帐篷法庭”内，敲响了灾后第一槌。自九寨沟7.0级地震发生后，该县法院在抗震救灾的同时不忘本职工作。因余震不断，为尽快恢复正常审判工作秩序，8月10日，法院 ????????...展开全文c, 8月14日 16:44,1,评论,2,微博 weibo.com,Fh4sP8My5,1,206,26,1
207,【灾区党旗别样红 党徽闪耀暧民心】——九寨沟县马家乡党员干部一线抗震救灾见闻漆黑的夜晚奋不顾身查看灾情、顶着烈日挺身而出抢险救灾、忍受饥饿疲乏奔走于山村小寨、昼夜不分只为争分夺秒确保群众生命安危…… 这是九寨沟7.0级地震发生后，九寨沟县马家乡、村两级党组织和广大党员干部在抗震救 ????????...展开全文c, 8月14日 16:43,转发,评论,3,微博 weibo.com,Fh4sADJFm,1,207,27,1
208,【医者仁心铸大爱】8月8日，九寨沟沟口景区单号限行。对于经营九寨沟康乐医药连锁公司的个体户田晓军来说，印象深刻。这天，公司刚采买的医用氧气、晕车贴、葡萄糖、红景天等高原常用药品到货，准备晚上10点半放行时，把药品配送到沟口景区药店。21时19分，7.0级地震突袭九寨沟县。...展开全文c, 8月14日 16:43,转发,评论,1,微博 weibo.com,Fh4snlS6q,1,208,28,1
209,【帐篷里的灯光】——新华社记者夜宿九寨沟漳扎村入夜，62岁的扒他小心翼翼地将电灯拧到灯座上，打开开关，整座帐篷立马被灯光温暖了起来。九寨沟7.0级地震后，漳扎村二队在震后第三天晚上恢复了供电，安置点50多顶帐篷透出灯光，像点点繁星，映亮了川西高原的夜。...展开全文c, 8月14日 16:42,转发,评论,1,微博 weibo.com,Fh4sd0XYG,1,209,29,1
210,【加强过渡安置点安全防范 保障群众生命财产安全】带着对受灾群众的关心和关爱，8月13日，州委副书记、州长杨克宁来到九寨沟县漳扎镇调研受灾群众过渡安置情况。调研中他强调，要加强过渡安置点的防火、用电、防盗等安全防范工作，发挥党员干部先锋模范引领作用，组织安全巡查队伍；广泛宣传，增强群 ????????...展开全文c, 8月14日 16:42,转发,评论,1,微博 weibo.com,Fh4s02sX5,1,210,30,1
211,发布了头条文章：《强化灾区饮水及环境监管 做好中央环保督察迎检工作》 °强化灾区饮水及环境监管 做好中央环保督察迎... ????????, 8月14日 16:35,转发,评论,2,微博 weibo.com,Fh4p07jh6,1,211,31,1
212,【九寨沟地震致25死525伤 人员搜救工作基本结束】记者从四川省政府新闻办获悉，截至8月13日20时，地震造成25人死亡（其中24名遇难者身份已确认），525人受伤（其中重伤42人），6人失联（其中5名人员基本确定身份信息），19768户176492人（含游客）受灾，73671间房屋不同程度受损（其中倒塌76间），涉及 ????????...展开全文c, 8月14日 16:27,1,1,6,微博 weibo.com,Fh4m2mOdc,1,212,32,1
214,#九寨沟7.0级地震# 【九寨沟地震灾区无重大传染病疫情】记者从四川省卫计委获悉：截至8月12日12时，九寨沟地震灾区共收治地震伤员525人。目前，灾区无重大传染病疫情和突发公共卫生事件报告。（来源：阿坝州政府网） ????????, 8月14日 10:59,转发,评论,赞,微博 weibo.com,Fh2cXiK61,1,214,33,1
215,#九寨沟7.0级地震# 【九寨沟169处安置点暂无地灾隐患】8月13日，记者从省国土资源厅获悉，“8·8”九寨沟地震发生后，为确保地震灾区临时安置点群众生命安全，国土系统及时对每处临时集中安置点开展了安全性评价工作。九寨沟县共完成临时集中安置点地灾安全性评价169处，安置群众3664户14586人。暂无地 ????????...展开全文c, 8月14日 10:58,转发,评论,赞,微博 weibo.com,Fh2cwav1R,1,215,34,1
216,#九寨沟7.0级地震# 【九寨沟景区门票车票已退票金额达592.70万元】据阿坝文旅公司统计，8月9日九寨沟总共售票29184张，截至8月11日12:00，成都现场及网上已退票21797张，退票金额达592.70万元（不含九寨沟沟口现场退票人数及金额）；截至8月10日，九寨沟管理局现场现金退票3362张，将继续为游客办理退 ????????...展开全文c, 8月14日 10:56,1,评论,赞,微博 weibo.com,Fh2bH0bdr,1,216,35,1
218,发布了头条文章：《#九寨沟7.0级地震#【实拍 ║ 九寨沟震区安置点群众生活】》 °#九寨沟7.0级地震#【实拍 ║ 九寨沟震区安置点... ????????, 8月14日 10:41,转发,评论,2,微博 weibo.com,Fh25stLfB,1,218,36,1
219,发布了头条文章：《#九寨沟7.0级地震#【“送文化进帐篷”让灾后安置升华】》 °#九寨沟7.0级地震#【“送文化进帐篷”让灾后安... ????????, 8月14日 10:30,转发,评论,1,微博 weibo.com,Fh217CeL8,1,219,37,1
223,【把温暖送到每一个村寨——灾区??群众安置纪实】8日夜，四川九寨沟县发生7级地震，受灾严重的九寨沟县6万多名居民彻夜未眠、不少群众有家难回，如何保障百姓基本生活，成为救援被困人员之外最大的任务之一。这是一次暖人心扉的大援助。帐篷、棉衣、棉被、食品、设备设施……来自四面八方的救援人员和 ????????...展开全文c, 8月13日 16:48,1,1,7,iPhone 6s,FgV3Zq7Kw,1,223,38,1
224,我发表了头条文章:《【用心用情做好??安置工作 树立信心重建美好家园】》 °【用心用情做好??安置工作 树立信心重建美好家... ????????, 8月13日 16:45,转发,1,4,iPhone 6s,FgV2HixAU,1,224,39,1
225,#九寨沟7.0级地震# 据@四川日报 消息，截至目前，“8·8”九寨沟地震已造成25人死亡，525人受伤。遇难者中21人确定身份，4人未确定身份。 ??????其中新增遇难者为29岁游客王又乐（女），身份证号码：51302919881003**** ????????, 8月13日 16:25,25,11,7,iPhone 6s,FgUUIp625,1,225,40,1
226,【九寨沟地震已造成25人死亡 其中21人确定身份】8月13日，记者从省政府新闻办了解到，“8.8”九寨沟县地震已造成25人死亡 ，其中21人确定身份，4人未确定身份。（来源：封面消息） ????????, 8月13日 15:55,转发,1,3,iPhone 6s,FgUIqkGI4,1,226,41,1
227,#九寨沟7.0级地震# 【48小时撤离九寨沟：一个母亲和她8岁儿子的灾区纪实】°48小时撤离九寨沟：一个母亲和她8岁儿子的灾... ????????, 8月13日 13:09,7,3,20,iPhone 6s,FgTDdzoNU,1,227,42,1
228,#九寨沟7.0级地震#【寻找九寨沟地震中的救命恩人】据@中国阿坝州发布 阿坝州政府网信息，8月11日21时04分，接到江西籍刘丹（同音）女士来电，8月8日晚，九寨沟地震发生后，家人旅游住在九寨天赐藏浴酒店，其女儿被困二楼，2名男子从一楼搭人梯将其救出送至大巴车，刘女士仅知道男子王万军（同音）苏惠 ????????...展开全文c, 8月13日 11:57,6,3,11,iPhone 6s,FgT9XeY6p,1,228,43,1
229,#九寨沟7.0级地震# 【截至8月12日18时“九寨沟地震接收捐赠资金537.5万元】截至2017年8月12日18时，我州慈善会、红十字会累计接收“8.8”九寨沟地震捐赠资金5375534.01 元。其中，全州慈善会接收捐赠资金3999006.24 元；全州红十字会接收捐赠资金1376527.77 元。 ????????, 8月13日 11:53,3,5,6,微博 weibo.com,FgT8pbjXC,1,229,44,1
230,#九寨沟7.0级地震# 【拧紧震后食品安全“安全阀”】12日，记者获悉，为拧紧震后食品安全“安全阀”，多级食药监管部门自灾后便坚守一线，严防不合格食品药品流入灾区，全力保障受灾群众饮食用药安全。据介绍，地震发生后，根据州委州政府和省食药监局抗震救灾工作部署，省、州、县三级联动，协调解 ????????...展开全文c, 8月13日 11:50,1,1,1,微博 weibo.com,FgT6V22wm,1,230,45,1
232,#九寨沟7.0级地震# 【航拍震后九寨沟依然美丽 用流量都要看】感天动地的抗震救灾过程中，我们看到了守望相助的力量，看到了使命荣光的担当，看到了人间大爱的汇聚……所有这些，让九寨更加美丽，这种美，是由内而外的坚韧，...展开全文c, 8月12日 22:47,69,30,64,iPhone 6s,FgNZh1Gzk,1,232,46,1
233,发布了头条文章：《【九寨沟第一小学安置点：物品充足秩序好 我们住得很踏实】》 °【九寨沟第一小学安置点：物品充足秩序好 我... ????????, 8月12日 22:34,1,评论,1,微博 weibo.com,FgNTMCPC6,1,233,47,1
234,发布了头条文章：《【谁的行李？九寨沟帮你保管可微信视频确认】》 °【谁的行李？九寨沟帮你保管可微信视频确认】 ????????, 8月12日 22:31,2,1,9,微博 weibo.com,FgNSOmfQv,1,234,48,1
235,#九寨沟7.0级地震#【本地商家连送爱心水果 为疏散游客“解渴消夏”】8月12日，地震后第四天，九寨沟县城已经恢复了几分生气，从“8.8”地震中挺过来的当地居民，已经逐步恢复生产生活。众多前来采买菜蔬的当地居民和重新开张的商家，让这天的青平菜市场多了几分喧嚣活力。更多信息请点： ????????...展开全文c, 8月12日 22:28,转发,评论,1,微博 weibo.com,FgNRj27bh,1,235,49,1
236,#九寨沟7.0级地震# 【省指挥部第三次新闻发布会公布地震烈度图】12日下午5点，省抗震救灾指挥部举行第三次新闻发布会，中国地震局现场工作队新闻发言人雷建成发布了四川九寨沟7.0级地震烈度图。记者从会上了解，此次地震的最大烈度为九度，等震线长轴总体呈北北西走向，六度区及以上总面积为18295平方 ????????...展开全文c, 8月12日 21:00,2,1,1,微博 weibo.com,FgNhKjXuv,1,236,50,1
237,#九寨沟7.0级地震# 【阿坝州其他景区未受九寨地震影响】九寨沟发生7.0级地震后，黄龙、达古冰山、四姑娘山等各景区（点）已对道路交通、景区景点、宾馆饭店、游人中心、路标路牌、游乐设施等进行了全面的安全隐患排查。目前，除九寨沟景区外，通往其他各景区的道路都是通畅的，各景区设备及交通环境良 ????????...展开全文c, 8月12日 16:39,8,4,22,微博 weibo.com,FgLzZ4aCn,1,237,51,1
238,#九寨沟7.0级地震# 【16家社会组织响应号召撤离震区】据中青在线成都8月11日电，设在九寨沟县的团四川省委前方工作机构今天表示，为确保抗震救灾工作在有限的作业空间内有序开展，正引导相关社会组织撤离灾区。截至目前，已有16家社会组织响应号召离开灾区。 ????????, 8月12日 15:04,转发,1,2,微博 weibo.com,FgKXjs3E3,1,238,52,1
239,#九寨沟7.0级地震# 【九寨沟地震后卧龙大熊猫安然无恙】新华社成都8月11日电 记者11日从卧龙国家级自然保护区管理局了解到，8月8日发生的九寨沟7级地震暂未对保护区内的大熊猫造成影响。图为：8月11日，一只成年大熊猫在卧龙中国大熊猫保护研究中心神树坪基地的树上玩耍。 ????????, 8月12日 15:02,1,1,3,微博 weibo.com,FgKWAfvkb,1,239,53,1
242,#九寨沟7.0级地震# 【九寨沟地震后，游客十问，律师十答】O网页链接 ????????, 8月12日 13:48,转发,1,2,iPhone 6s,FgKsojdNC,1,242,54,1
243,#九寨沟7.0级地震#【以爱的名义集结】灾情就是命令，灾区就是战场。九寨沟县7.0级地震发生后，我州各级各部门迅速集结，赶往灾区开展抢险救援和安抚工作。在社会各界的关心、支援下，灾区秩序井然，全州干部群众团结一心、众志成城，坚决打赢抗震救灾突击战。◆若尔盖九寨沟县7.0级地震发生后， ????????...展开全文c, 8月12日 12:22,转发,评论,6,微博 weibo.com,FgJTqzocQ,1,243,55,1
245,发布了头条文章：《灾区处处涌温情????危难之时显大爱》 °灾区处处涌温情  危难之时显大爱 ????????, 8月12日 11:10,转发,评论,12,微博 weibo.com,FgJqp1eN1,1,245,56,1
246,发布了头条文章：《#九寨沟7.0级地震#【 振臂而上 矗立在灾区一线的党旗】》 °#九寨沟7.0级地震#【 振臂而上 矗立在灾区一... ????????, 8月11日 23:15,4,2,13,微博 weibo.com,FgEKgkHew,1,246,57,1
247,#九寨沟7.0级地震# 【九寨沟地震遇难人数已达24人】 8月8日21时19分，阿坝州九寨沟县发生7.0级地震，震源深度20公里。灾情发生后，在党中央、国务院的亲切关怀下，按照省委、省政府的统一部署，全州各族各界紧急动员，与时间赛跑，以抢救生命为第一要务，在72小时黄金救援期间，争分夺秒打了一场抢险救 ????????...展开全文c, 8月11日 21:24,987,1465,9426,微博 weibo.com,FgE10F4Vs,1,247,58,1
248,#九寨沟7.0级地震# 【九寨沟景区门票车票已退票金额达592.70万元】据阿坝文旅公司统计，8月9日九寨沟共售票29184张，截至8月11日12:00，成都现场及网上已退票21797张，退票金额达592.70万元（不含九寨沟沟口现场退票人数及金额）；截至8月10日，九寨沟景区现场现金退票3362张，退票业务仍在持续。来源 ????????...展开全文c, 8月11日 20:43,3,10,7,iPhone 6s,FgDKcr4ax,1,248,59,1
249,#九寨沟7.0级地震# 震后的长海宁静而美丽！图据网友8月11日拍摄 ????????, 8月11日 17:54,11,10,86,iPhone 6s,FgCDVdFmg,1,249,60,1
250,#九寨沟7.0级地震# 【王东明：游客是我们的客人，我们有责任有义务让他们平平安安回家！】8月11日，四川省委书记、省抗震救灾指挥部指挥长王东明，省委副书记、省长、指挥部指挥长尹力，前往绵阳市平武县、江油市，看望慰问参与九寨沟地震游客转运疏散的工作人员。王东明对大家说，地震发生时正值旅游 ????????...展开全文c, 8月11日 16:54,,5,17,微博 weibo.com,FgCfB1WUJ,1,250,61,1
251,#九寨沟7.0级地震# 【从头再来 九寨沟村民要让青山上寨】今日上午11时，九寨沟县黄土梁隧道洞子口附近的山坡上，64岁的泽礼秀一铲子铲掉一堆地表落石：“我们要从头再来，让青山上寨。”这里，是九寨沟县南大门。8日的地震，对这里影响不大，但考虑安全一度停工。11日，早前在此开工的村民全面复 ????????...展开全文c, 8月11日 16:52,1,2,16,微博 weibo.com,FgCevo11Z,1,251,62,1
252,#九寨沟7.0级地震# 【6000米高空俯瞰????九寨依然是天堂】8月10日，西部战区空军再次出动运-9飞机，飞赴九寨沟地震灾区，对重要景点和区域精准航空侦察。在6000米高空俯瞰，九寨沟依然美丽，连绵的青山秀丽依旧，散落的海子清亮的眸子，依然幽蓝清澈，神奇的九寨，依然是看得到的天堂。（来源：四川 ????????...展开全文c, 8月11日 16:49,4,2,24,微博 weibo.com,FgCdvkRdm,1,252,63,1
253,#九寨沟7.0级地震#【虽然受了伤 但九寨依然美丽】一场7.0级强震之后，“人间天堂”九寨沟先后传出火花海、诺日朗瀑布受损的消息，不少网友担心九寨沟的美景还在吗？伤痛是真的有的，但九寨沟依然美丽！不信？请看从九寨沟景区实地拍回的照片。（来源：四川日报） ????????, 8月11日 16:48,2,3,16,微博 weibo.com,FgCcMoSEL,1,253,64,1
254,#九寨沟7.0级地震# 【转发致敬！无畏生死的人民警察】9日10时，阿坝州特警支队7名特警接到指令，从诺日朗服务中心附近的静海停车场出发，步行十几公里前往位于震中的日则保护站，营救被困群众。10日13点30分许，他们顺利返回九寨沟诺日朗瀑布附近，作短暂休息停留，终于吃上了第一口热饭。致敬灾难 ????????...展开全文c, 8月11日 16:43,5,19,120,微博 weibo.com,FgCaKxoEF,1,254,65,1
255,#九寨沟7.0级地震#【阿坝州向社会公布爱心捐赠渠道】2017年8月8日21时19分，阿坝州九寨沟县发生7.0级地震，震源深度20千米，造成人员伤亡和房屋倒塌。人民群众生命财产遭受严重损失，为解决灾区实际困难，做好救灾款物的募集工作，及时向社会公布爱心捐赠渠道，现将九寨沟“8·8”地震爱心捐款渠道平台 ????????...展开全文c, 8月11日 16:25,1,评论,4,微博 weibo.com,FgC3O0w6w,1,255,66,1
256,#九寨沟7.0级地震# 【“孤岛”不孤！——地震受困群众亲述获救故事】关键词：两天两夜 10人被困孤岛 守望相助讲述人：日则保护站获救者长生，大录乡香扎村三组村民（九寨沟管理局森林巡护和地质灾害监测员），51岁在记者送长生回程的路上，自言“平时话几乎没得”的他，一路上话语几乎不停，记者 ????????...展开全文c, 8月11日 16:21,3,1,7,微博 weibo.com,FgC20zQ4A,1,256,67,1
257,#九寨沟7.0级地震#【一方有难 八方驰援????各地各部门及企业纷纷致电致函慰问地震灾区】8月8日，九寨沟发生7.0级地震。震后，浙江省嘉兴市、甘孜州、雅安市、自贡市、眉山市等地（市）州，省委统战部等部门，葛洲坝集团等企业纷纷致电致函，向九寨沟地震灾区人民表示慰问，向奋战在抗震救灾一线的广大干 ????????...展开全文c, 8月11日 16:20,转发,1,7,微博 weibo.com,FgC1vAwWY,1,257,68,1
258,#九寨沟7.0级地震#【党旗飘扬的地方——是临时安置点， 是爱与希望汇聚的地方】 8月10日，午饭时间，记者前往漳扎镇安置点探访受灾群众安置情况。远远望见飘扬的旗帜上醒目的“党员志愿服务队”几个大字，陆续有外地车牌号的应急救援车辆根据旗帜的指引到达漳扎镇安置点。此刻，没有一个外地司机因 ????????...展开全文c, 8月11日 16:19,2,评论,2,微博 weibo.com,FgC12CvLc,1,258,69,1
259,#九寨沟7.0级地震# 【若尔盖志愿者为往返救援车提供服务】8月8日九寨沟7.0级地震发生后，共青团若尔盖县委迅速行动，充分发挥共青团联系青年、服务青年的先锋模范作用，集结32名志愿者在国道213线设立2处志愿服务点，开展抗震救灾志愿服务，为震中往返游客及救援车辆提供物资补给、路况咨询和手机充电 ????????...展开全文c, 8月11日 16:15,转发,评论,3,微博 weibo.com,FgBZz0rr4,1,259,70,1
260,#九寨沟7.0级地震# 【九寨沟三个饮用水源水质达标】8月10日凌晨3点50分，阿坝州环保局监测分析组形成第一期环境应急监测专报，监测数据表明，灾区3个饮用水水源地水质均达到《地表水环境质量标准》（GB3838-2002）Ⅱ类水域标准；5个地表水水质断面水质达到《地表水环境质量标准》（GB3838-2002）Ⅲ类水 ????????...展开全文c, 8月11日 16:14,2,评论,3,微博 weibo.com,FgBZbkOVC,1,260,71,1
261,#九寨沟7.0级地震# 【黑水开展向地震灾区捐款活动】“一方有难，八方支援”是中华民族的传统美德。今日(11日)，黑水县向九寨沟地震灾区捐款活动在街心花园举行，该县社会各界纷纷伸出援手，踊跃为灾区捐款。 ????????, 8月11日 15:55,转发,评论,5,微博 weibo.com,FgBRxnpQq,1,261,72,1
262,#九寨沟7.0级地震# 【12日到15日九寨沟天气以多云为主】据阿坝州气象台消息，今日白天到晚上九寨沟阴有小到中雨；12日小雨转阴；13日多云转晴；14日晴间多云；15日多云间晴。????温馨提示：未来24小时内，地震灾区天气多云转阴有小到中雨，请相关单位注意降水带来的次生灾害，适时开展抗震救灾工作。 ????????, 8月11日 15:53,转发,评论,1,微博 weibo.com,FgBQtvaxn,1,262,73,1
263,#九寨沟7.0级地震# 【又见逆行！九寨沟地震救援，这张逆行照片刷爆朋友圈】九寨沟抗震现场，又见逆行！“我们不是英雄，‘逆行’是我们忠于职守。”看不清战士的面孔，但看到了一股毫不畏惧的力量。（四川共青团） ????????, 8月11日 15:33,2,4,61,iPhone 6s,FgBIEzqhs,1,263,74,1
